丁, uni
七, uni
万, uni
三, uni
上, uni
下, uni
不, uni
与, uni
丙, uni
业, uni
丛, ⿱<从>⿰人人一
丝, uni
丢, uni
两, uni
丧, uni
个, uni
中, uni
丰, uni
串, uni
临, uni
丸, uni
主, uni
举, ⿱兴<CDP-8BF1>
乃, uni
么, uni
义, uni
之, uni
乌, uni
乏, uni
乒, ⿱丘丿
乓, ⿱丘丶
乔, ⿱夭<CDP-8BF5>⿰丿丨
乖, uni
乘, uni
乞, ⿱𠂉乙
习, ⿹𠃌冫
买, ⿱乛头
乱, ⿰舌乚
乳, ⿰<孚>⿱爫子乚
乾, ⿰𠦝乞
了, uni
予, uni
争, uni
二, uni
亏, uni
云, ⿱二厶
互, uni
五, uni
亚, uni
些, ⿱此二
亡, ⿱亠𠃊
交, ⿱亠<父>⿱八<乂>⿻丿乀
亥, ⿳亠<CDP-89C2>⿸𠃋丿人
亦, ⿱亠<CDP-8CB5>;
产, ⿱<CDP-8BAE>⿱亠丷厂
亩, ⿱亠田
享, ⿳亠口子
京, ⿳亠口小
亭, ⿱<CDP-8C4D>⿳亠口冖丁
亮, ⿱<CDP-8C4D>⿳亠口冖儿
亲, ⿱立朩
亿, ⿰亻乙
什, ⿰亻十
仁, ⿰亻二
仅, ⿰亻又
仆, ⿰亻卜
仇, ⿰亻九
今, uni
介, ⿱𠆢<CDP-8BF5>⿰丿丨
仍, ⿰亻<乃>⿹𠄎丿
从, ⿰人人
仑, ⿱𠆢匕
仓, ⿱𠆢㔾
仔, ⿰亻子
他, ⿰亻也
仗, ⿰亻丈
付, ⿰亻寸
仙, ⿰亻山
代, ⿰亻弋
令, uni
仪, ⿰亻义
们, ⿰亻门
仰, ⿰亻<卬>⿰<CDP-8CBD>;卩
仲, ⿰亻<中>⿻口丨
件, ⿰亻牛
价, ⿰亻<介>⿱𠆢<CDP-8BF5>⿰丿丨
任, ⿰亻壬
份, ⿰亻<分>⿱八<刀>⿹𠃌丿
仿, ⿰亻方
企, ⿱𠆢止
伊, ⿰亻尹
伍, ⿰亻<五>⿱一𫝀
伏, ⿰亻犬
伐, ⿰亻戈
休, ⿰亻木
众, ⿱人<从>⿰人人
优, ⿰亻<尤>⿺尢丶
伙, ⿰亻<火>⿱八人
会, ⿱𠆢<云>⿱二厶
伞, ⿱𠆢<CDP-8A64>⿻十丷
伟, ⿰亻韦
传, ⿰亻专
伤, ⿰亻⿱𠂉力
伦, ⿰亻<仑>⿱𠆢匕
伪, ⿰亻为
伯, ⿰亻白
估, ⿰亻<古>⿱十口
伴, ⿰亻<半>⿱丷<CDP-8BF1>⿻二丨
伶, ⿰亻令
伸, ⿰亻申
伺, ⿰亻司
似, ⿰亻以
佃, ⿰亻田
但, ⿰亻<旦>⿱日一
位, ⿰亻立
低, ⿰亻<氐>⿱氏一
住, ⿰亻主
佑, ⿰亻<右>⿸𠂇口
体, ⿰亻本
何, ⿰亻可
余, ⿱<CDP-8AFC>⿵𠆢一朩
佛, ⿰亻弗
作, ⿰亻乍
你, ⿰亻<尔>⿱𠂊小
佣, ⿰亻用
佩, ⿰亻<CDP-8DA7>⿵<𠘨>⿰丿⺄<帀>⿱一巾
佳, ⿰亻<圭>⿱土土
使, ⿰亻<吏>⿻一史
侄, ⿰亻<至>⿱<𠫔>⿱一厶土
侈, ⿰亻<多>⿱<夕>⿴𠂊丶<夕>⿴𠂊丶
例, ⿰亻<列>⿰<歹>⿱一<夕>⿴𠂊丶刂
侍, ⿰亻<寺>⿱土寸
供, ⿰亻<共>⿱龷八
依, ⿰亻<衣>⿱亠𧘇
侠, ⿰亻<夹>⿻夫丷
侣, ⿰亻<吕>⿱口口
侥, ⿰亻尧兀
侦, ⿰亻<贞>⿱⺊贝
侧, ⿰亻<则>⿰贝刂
侨, ⿰亻<乔>⿱夭<CDP-8BF5>⿰丿丨
侮, ⿰亻<毎>⿱𠂉毋
侯, ⿰亻<CDP-8BC7>⿱<CDP-8BC8>⿱𠃍一矢
侵, ⿰亻<𠬶>⿱<CDP-8BAB>⿴<CDP-8C78>;一⿱冖又
便, ⿰亻更
促, ⿰亻<足>⿱口龰
俄, ⿰亻我
俊, ⿰亻<夋>⿱<允>⿱厶儿夂
俏, ⿰亻<肖>⿱⺌月
俐, ⿰亻<利>⿰禾刂
俗, ⿰亻谷
俘, ⿰亻<孚>⿱爫子
保, ⿰亻<呆>⿱口木
信, ⿰亻言
俩, ⿰亻两
俭, ⿰亻佥
修, ⿰<CDP-8B7A>⿰亻丨㣊
俯, ⿰亻<府>⿸广<付>⿰亻寸
俱, ⿰亻具
俺, ⿰亻<奄>⿱大<电>⿻日乚
倍, ⿰亻<咅>⿱立口
倒, ⿰亻<到>⿰<至>⿱<𠫔>⿱一厶土刂
倔, ⿰亻<屈>⿸尸<出>⿱<屮>⿻凵丿凵
倘, ⿰亻<尙>⿱𡭔冋
候, ⿰<CDP-8B7A>⿰亻丨<CDP-8BC7>⿱<CDP-8BC8>⿱𠃍一矢
倚, ⿰亻<奇>⿱大可
借, ⿰亻<昔>⿱龷日
倡, ⿰亻<昌>⿱日日
倦, ⿰亻<巻>⿱<龹>⿱丷夫己
债, ⿰亻<责>⿱龶贝
值, ⿰亻<直>⿱十⿺𠃊目
倾, ⿰亻<顷>⿰匕页
假, ⿰亻叚
偎, ⿰亻<畏>⿳田一<CDP-8CC6>⿰𠄌⿺乀丿
偏, ⿰亻<扁>⿸户𠕁
做, ⿰亻<故>⿰<古>⿱十口攵
停, ⿰亻<亭>⿱<CDP-8C4D>⿳亠口冖丁
