怀 zuodian-dian-shu-heng-pie-shu-dian
挂 heng-shugou-ti-heng-shu-heng-heng-shu-heng
矗 heng-shu-shu-hengzhe-heng-heng-heng-heng-heng-zuodian-shu-hengzhe-heng-heng-heng-ti-heng-pie-shu-hengzhe-heng-heng-heng-heng
椆 heng-shu-pie-dian-shupie-hengzhegou-heng-shu-heng-shu-hengzhe-heng
涉 dian-dian-ti-shu-heng-shu-heng-shu-zuodian-pie
氈 dian-heng-shu-hengzhe-shu-hengzhe-heng-heng-shu-hengzhe-heng-heng-heng-pie-heng-heng-shuwangou
伊 pie-shu-hengzhe-heng-heng-shupie
厍 heng-shupie-heng-shuzhe-heng-shu
爌 zuodian-pie-shupie-dian-dian-heng-shupie-heng-shu-shu-heng-heng-shu-hengzhe-heng-shu-heng-pie-dian
嚏 shu-hengzhe-heng-heng-shu-zuodian-henggou-shu-hengzhe-heng-shu-heng-henggou-shu-heng-pie-na
唎 shu-hengzhe-heng-ti-heng-shu-pie-dian-shu-shugou
徕 pie-pie-shu-heng-dian-pie-heng-shu-pie-na
帔 shu-hengzhegou-shu-henggou-shupie-shu-hengpie-na
抗 pingpie-shugou-ti-dian-heng-pie-hengzhewangou
料 dian-pie-heng-shu-pie-dian-dian-dian-heng-shu
璨 heng-heng-shu-ti-shu-heng-pie-hengpie-dian-hengpie-dian-dian-pie-heng-shu-pie-na
亟 hengpie-shugou-shu-hengzhe-heng-hengpie-dian-heng
洞 dian-dian-ti-shu-hengzhegou-heng-shu-hengzhe-heng
冡 zuodian-henggou-heng-heng-pie-wangou-pie-pie-pie-na
倠 pie-shu-pie-shu-dian-heng-heng-heng-shu-heng
咣 shu-hengzhe-heng-shu-dian-pie-heng-pie-shuwangou
猢 pie-wangou-pie-heng-shu-shu-hengzhe-heng-shupie-hengzhegou-heng-heng
瞥 dian-pie-shu-hengzhegou-shu-zuodian-dian-pie-heng-pie-na-shu-hengzhegou-heng-heng-heng
嘤 shu-hengzhe-heng-shu-hengzhe-shupie-dian-shu-hengzhe-shupie-dian-piedian-pie-heng
媧 piedian-pie-heng-shu-hengzhe-shu-heng-shu-hengzhegou-shu-hengzhe-heng
尨 heng-shupie-shuwangou-dian-pie-pie-pie
悫 heng-shu-heng-zuodian-henggou-pie-shuwangou-zuodian-wogou-dian-dian
弪 hengzhe-heng-shuzhezhegou-hengpie-dian-heng-shu-heng
掭 heng-shugou-ti-heng-heng-pie-na-shugou-zuodian-dian-dian
戬 heng-shu-shu-dian-pie-heng-shu-hengzhe-heng-heng-heng-xiegou-pie-dian
攮 heng-shugou-ti-heng-shu-hengzhe-heng-shu-zuodian-henggou-shu-hengzhe-heng-shu-hengzhe-heng-heng-heng-shu-shu-heng-pie-shuti-pie-na
榱 heng-shu-pie-dian-dian-heng-shu-hengzhe-heng-heng-pie-shuti-pie-na
河 dian-dian-ti-heng-shu-hengzhe-heng-shugou
欲 pie-dian-pie-dian-shu-hengzhe-heng-pie-henggou-pie-na
侵 pie-shu-hengzhe-heng-heng-zuodian-henggou-hengpie-na
临 shu-shu-pie-heng-dian-shu-hengzhe-shu-heng
犷 pie-wangou-pie-dian-heng-shupie
然 pie-hengpie-dian-dian-heng-shupie-na-dian-zuodian-dian-dian-dian
喹 shu-hengzhe-heng-heng-pie-na-heng-shu-heng-heng-shu-heng
吸 shu-hengzhe-heng-shupie-hengzhezhepie-na
墻 heng-shu-ti-pie-dian-pie-dian-heng-shu-heng-shu-hengzhe-shu-hengzhe-heng-heng
场 heng-shu-ti-hengzhezhezhe勾-pie-pie
宽 dian-zuodian-henggou-heng-shu-pie-shu-hengzhe-pie-shuwangou
娼 piedian-pie-heng-shu-hengzhe-heng-heng-shu-hengzhe-heng-heng
崾 shu-shuzhe-shu-heng-shu-hengzhe-shu-shu-heng-piedian-pie-heng
捂 heng-shugou-ti-heng-shu-hengzhe-heng-shu-hengzhe-heng
反 pingpie-shupie-hengpie-na
剌 heng-shu-hengzhe-heng-shu-pie-dian-shu-shugou
盏 heng-heng-xiegou-pie-dian-shu-hengzhe-shu-shu-heng
畎 shu-hengzhe-heng-shu-heng-heng-shupie-na-dian
姑 piedian-pie-heng-heng-shu-shu-hengzhe-heng
癢 dian-heng-shupie-dian-ti-dian-pie-heng-heng-shu-heng-pie-na-dian-hengzhe-heng-heng-shuti-pie-dian
忕 zuodian-dian-shu-heng-shupie-na
幔 shu-hengzhegou-shu-shu-hengzhe-heng-heng-shu-hengzhe-shu-pie-heng-hengpie-na
拗 heng-shugou-ti-piezhe-piezhe-dian-hengzhegou-shupie
摘 heng-shugou-ti-dian-heng-dian-pie-shu-hengzhegou-heng-shu-shu-hengzhe-heng
甤 heng-pie-wangou-pie-pie-pie-na-pie-heng-heng-shu-heng
爽 heng-pie-dian-pie-dian-pie-dian-pie-dian-shupie-na
爻 pie-na-pie-na
仟 pie-shu-pingpie-heng-shu
浞 dian-dian-ti-shu-hengzhe-heng-shu-heng-pie-na
凡 shupie-hengzhewangou-dian
瓣 dian-heng-dian-pie-heng-heng-pie-pie-shupie-shuti-dian-na-dian-heng-dian-pie-heng-heng-shu
卢 shu-heng-hengzhe-heng-shupie
知 pie-heng-heng-shupie-dian-shu-hengzhe-heng
噤 shu-hengzhe-heng-heng-shu-pie-dian-heng-shu-pie-na-heng-heng-shugou-zuodian-dian
巩 heng-shu-ti-shupie-hengzhexiegou-dian
惫 pie-hengpie-na-shu-hengzhe-heng-shu-heng-zuodian-wogou-dian-dian
彪 shu-heng-henggou-shupie-heng-shuwangou-pie-hengzhewangou-pie-pie-pie
揭 heng-shugou-ti-shu-hengzhe-heng-heng-pie-hengzhegou-pie-dian-shuzhe
扬 heng-shugou-ti-hengzhegou-pie-pie
泳 dian-dian-ti-dian-hengzhegou-hengpie-pie-na
歲 shu-heng-shu-heng-heng-pie-heng-shugou-zuodian-pie-xiegou-pie-dian
湴 dian-dian-ti-dian-pie-heng-shu-shu-dian-pie-heng
狷 pie-wangou-pie-shu-hengzhe-heng-shu-hengzhegou-heng-heng
其 heng-shu-shu-heng-heng-heng-pie-dian
痹 dian-heng-shupie-dian-ti-shu-hengzhe-heng-shu-heng-heng-pie-shu
呸 shu-hengzhe-heng-heng-pie-shu-dian-heng
寽 pingpie-dian-dian-pie-heng-shugou-dian
痫 dian-heng-shupie-dian-ti-dian-shu-hengzhegou-heng-shu-pie-dian
廿 heng-shu-shu-heng
渔 dian-dian-ti-pie-hengpie-shu-hengzhe-heng-shu-heng-heng
愁 pingpie-heng-shu-pie-dian-dian-pie-shupie-na-zuodian-wogou-dian-dian
盡 hengzhe-heng-heng-shu-heng-zuodian-dian-dian-dian-shu-hengzhe-shu-shu-heng
